fecha,codigo_gps,coordenada_completa,longitug,latitud,fn_valor_pastoral
02/2016,CP2 T02,-67.8784383/-43.5160923,-67.8784383,-43.5160923,"6,60"
01/2017,CP2 T02,-67.8784383/-43.5160923,-67.8784383,-43.5160923,"11,80"
02/2016,CP2 T03,-67.9589745/-43.5406249,-67.9589745,-43.5406249,"2,60"
01/2017,CP2 T03,-67.9589745/-43.5406249,-67.9589745,-43.5406249,"9,00"
02/2016,CP2 T04,-68.0431357/-43.5529752,-68.0431357,-43.5529752,"7,20"
01/2017,CP2 T04,-68.0431357/-43.5529752,-68.0431357,-43.5529752,"14,20"
02/2016,CP2 T05,-68.1454462/-43.5403228,-68.1454462,-43.5403228,"5,00"
01/2017,CP2 T05,-68.1454462/-43.5403228,-68.1454462,-43.5403228,"10,00"
02/2016,CP2 T06,-68.231108/-43.5122529,-68.231108,-43.5122529,"8,80"
01/2017,CP2 T06,-68.231108/-43.5122529,-68.231108,-43.5122529,"13,40"
02/2016,CP2 T07,-68.3240183/-43.506472,-68.3240183,-43.506472,"3,60"
01/2017,CP2 T07,-68.3240183/-43.506472,-68.3240183,-43.506472,"6,20"
02/2016,CP2 T08,-68.409472/-43.4685114,-68.409472,-43.4685114,"4,40"
01/2017,CP2 T08,-68.409472/-43.4685114,-68.409472,-43.4685114,"8,60"
02/2016,CP2 T09,-68.5116676/-43.4367634,-68.5116676,-43.4367634,"7,20"
01/2017,CP2 T09,-68.5116676/-43.4367634,-68.5116676,-43.4367634,"11,20"
02/2016,CP2 T10,-68.6020284/-43.4435682,-68.6020284,-43.4435682,"7,40"
01/2017,CP2 T10,-68.6020284/-43.4435682,-68.6020284,-43.4435682,"11,80"
02/2016,CP2 T11,-68.8130575/-43.4566326,-68.8130575,-43.4566326,"6,60"
01/2017,CP2 T11,-68.8130575/-43.4566326,-68.8130575,-43.4566326,"11,00"
02/2016,CP2 T12,-68.8356609/-43.5177279,-68.8356609,-43.5177279,"8,00"
01/2017,CP2 T12,-68.8356609/-43.5177279,-68.8356609,-43.5177279,"8,80"
02/2016,CP2 T13,-68.9024354/-43.5603622,-68.9024354,-43.5603622,"5,40"
01/2017,CP2 T13,-68.9024354/-43.5603622,-68.9024354,-43.5603622,"14,00"
02/2016,CP2 T14,-68.94512/-43.6129798,-68.94512,-43.6129798,"2,80"
01/2017,CP2 T14,-68.94512/-43.6129798,-68.94512,-43.6129798,"8,20"
02/2016,CP2 T15,-68.9277899/-43.6957299,-68.9277899,-43.6957299,"15,40"
01/2017,CP2 T15,-68.9277899/-43.6957299,-68.9277899,-43.6957299,"8,60"
02/2016,CP2 T16,-68.9524802/-43.7570688,-68.9524802,-43.7570688,"8,60"
01/2017,CP2 T16,-68.9524802/-43.7570688,-68.9524802,-43.7570688,"17,00"
02/2016,CP2 T17,-69.1456088/-44.0017744,-69.1456088,-44.0017744,"6,20"
01/2017,CP2 T17,-69.1456088/-44.0017744,-69.1456088,-44.0017744,"9,40"
02/2016,CP2 T18,-69.2060278/-44.0566183,-69.2060278,-44.0566183,"2,40"
01/2017,CP2 T18,-69.2060278/-44.0566183,-69.2060278,-44.0566183,"9,40"
02/2016,CP2 T19,-69.2688022/-44.10836,-69.2688022,-44.10836,"5,00"
01/2017,CP2 T19,-69.2688022/-44.10836,-69.2688022,-44.10836,"6,60"
02/2016,CP2 T20,-69.269206/-44.1728935,-69.269206,-44.1728935,"1,80"
01/2017,CP2 T20,-69.269206/-44.1728935,-69.269206,-44.1728935,"2,00"
02/2016,CP2 T21,-69.329533/-44.2254946,-69.329533,-44.2254946,"2,00"
01/2017,CP2 T21,-69.329533/-44.2254946,-69.329533,-44.2254946,"2,20"
02/2016,CP2 T22,-68.2325306/-44.2241725,-68.2325306,-44.2241725,"2,60"
01/2017,CP2 T22,-68.2325306/-44.2241725,-68.2325306,-44.2241725,"10,80"
02/2016,CP2 T23,-68.2892623/-44.2912477,-68.2892623,-44.2912477,"7,00"
